system_call,frequency_M,file_frequency_M,frequency_B,file_frequency_B
setsockoptmprotect,11869.0,2314.0,22892.0,4582.0
setsockoptsetsockopt,165916.0,2822.0,308522.0,5572.0
ioctlbrk,18494.0,3597.0,34370.0,6969.0
closegetpriority,1170.0,882.0,2344.0,1797.0
epoll_ctlioctl,76448.0,3971.0,149079.0,7711.0
mprotectwrite,53260.0,2795.0,111818.0,5422.0
writevfutex,210058.0,4081.0,586176.0,7970.0
accesssigprocmask,4532.0,1033.0,8047.0,2107.0
mprotectsigaltstack,1515.0,904.0,3316.0,1847.0
sin6_port=htonsconnect,4138.0,914.0,9293.0,1604.0
shutdowngetsockname,94.0,52.0,155.0,75.0
recvfromgetsockname,2846.0,656.0,5801.0,1220.0
mprotectbind,1449.0,726.0,2625.0,1275.0
mkdiropen,29330.0,2056.0,27708.0,4085.0
fdatasyncfdatasync,110634.0,1705.0,241527.0,3423.0
_exitsendto,317.0,223.0,514.0,401.0
clock_gettimewrite,13872345.0,4108.0,25627016.0,8024.0
umaskfdatasync,42873.0,1317.0,92337.0,2679.0
pollrecvfrom,851.0,427.0,3830.0,850.0
mprotectgetsockopt,6859.0,1871.0,16198.0,3705.0
futexioctl,410152.0,4165.0,780754.0,8117.0
mkdirchmod,5827.0,2948.0,11839.0,5854.0
gettimeofdayfdatasync,25050.0,1680.0,24090.0,3372.0
writesched_setscheduler,21805.0,3341.0,40523.0,6463.0
prctlmunmap,390431.0,2144.0,789812.0,4309.0
dupgetpriority,5805.0,2521.0,11326.0,4818.0
sigprocmaskaccess,4072.0,866.0,6305.0,1778.0
sigprocmaskioctl,33546.0,3399.0,59046.0,6603.0
munmap_exit,90966.0,3636.0,229195.0,7081.0
getsockoptepoll_ctl,33497.0,1704.0,59234.0,3438.0
ioctlsigaltstack,27468.0,2709.0,58635.0,5279.0
ioctlepoll_wait,404719.0,4039.0,759023.0,7813.0
closeopen,1776185.0,3088.0,3373522.0,6152.0
sigprocmasksigprocmask,1987929.0,4109.0,3631302.0,7981.0
writegettimeofday,85912.0,2427.0,214313.0,4939.0
prctlwrite,1456.0,489.0,3099.0,972.0
futexshutdown,3515.0,366.0,6184.0,586.0
ioctlwrite,66524.0,3513.0,120108.0,6800.0
setsockoptwritev,567.0,261.0,1982.0,484.0
accessbrk,6657.0,1251.0,13806.0,2534.0
sendtoioctl,9681.0,2163.0,16579.0,4106.0
brkclock_gettime,172147.0,3966.0,315122.0,7712.0
sigprocmaskopen,61418.0,3133.0,126664.0,6091.0
openfdatasync,75310.0,2797.0,158241.0,5695.0
mprotectmunmap,44316.0,3805.0,91261.0,7441.0
renameopen,30907.0,2293.0,64795.0,4628.0
gettimeofdayshutdown,479.0,144.0,1518.0,322.0
recvfromrecvfrom,4616873.0,3978.0,8819952.0,7737.0
sched_setschedulergetpriority,411025.0,4282.0,722472.0,8328.0
openmadvise,146942.0,3779.0,250094.0,7409.0
closeumask,2136.0,326.0,4015.0,648.0
gettimeofdaygetsockname,2099.0,925.0,4567.0,1642.0
sigprocmaskmadvise,148530.0,3826.0,278435.0,7474.0
getsockoptclose,90998.0,2846.0,159680.0,5505.0
bindmprotect,1415.0,724.0,2739.0,1289.0
gettimeofdayopen,221956.0,3001.0,584230.0,6061.0
gettidfutex,223373.0,3808.0,492426.0,7437.0
pollclock_gettime,10418.0,1613.0,21124.0,3061.0
