system_call,frequency,file_frequency
setsockoptmprotect,11869,2314
setsockoptsetsockopt,165916,2822
ioctlbrk,18494,3597
closegetpriority,1170,882
epoll_ctlioctl,76448,3971
mprotectwrite,53260,2795
writevfutex,210058,4081
accesssigprocmask,4532,1033
mprotectsigaltstack,1515,904
sin6_port=htonsconnect,4138,914
shutdowngetsockname,94,52
recvfromgetsockname,2846,656
mprotectbind,1449,726
mkdiropen,29330,2056
fdatasyncfdatasync,110634,1705
_exitsendto,317,223
clock_gettimewrite,13872345,4108
umaskfdatasync,42873,1317
pollrecvfrom,851,427
mprotectgetsockopt,6859,1871
futexioctl,410152,4165
mkdirchmod,5827,2948
gettimeofdayfdatasync,25050,1680
writesched_setscheduler,21805,3341
prctlmunmap,390431,2144
dupgetpriority,5805,2521
sigprocmaskaccess,4072,866
sigprocmaskioctl,33546,3399
munmap_exit,90966,3636
getsockoptepoll_ctl,33497,1704
ioctlsigaltstack,27468,2709
ioctlepoll_wait,404719,4039
closeopen,1776185,3088
sigprocmasksigprocmask,1987929,4109
writegettimeofday,85912,2427
prctlwrite,1456,489
futexshutdown,3515,366
ioctlwrite,66524,3513
setsockoptwritev,567,261
accessbrk,6657,1251
sendtoioctl,9681,2163
brkclock_gettime,172147,3966
sigprocmaskopen,61418,3133
openfdatasync,75310,2797
mprotectmunmap,44316,3805
renameopen,30907,2293
gettimeofdayshutdown,479,144
recvfromrecvfrom,4616873,3978
sched_setschedulergetpriority,411025,4282
openmadvise,146942,3779
closeumask,2136,326
gettimeofdaygetsockname,2099,925
sigprocmaskmadvise,148530,3826
getsockoptclose,90998,2846
bindmprotect,1415,724
gettimeofdayopen,221956,3001
gettidfutex,223373,3808
pollclock_gettime,10418,1613
sendtoshutdown,323,117
epoll_ctlmprotect,6996,2862
connectclose,120355,1906
openshutdown,30,28
bindrecvfrom,268,216
sigaltstackgetsockname,39,39
pollshutdown,421,86
gettimeofdaygetpid,194818,3005
sched_setschedulermprotect,6004,2433
umaskmadvise,1385,338
getpidfutex,127523,3562
closerecvfrom,22597,2153
futexgetpid,326479,4079
ioctlgetpid,1575582,4206
futexsched_yield,12344,2256
gettimeofdaypoll,23789,1998
getsocknamefutex,5446,1399
brkgettimeofday,132238,2895
futexread,1317755,3584
getsocknameclose,341,243
sin6_port=htonsshutdown,39,34
getsockoptsendto,4461,310
epoll_waitclose,19555,2342
fsyncioctl,463,294
writevrecvfrom,235961,3446
closefutex,96464,3514
openread,2022655,3994
recvfromsigprocmask,12134,2642
readrecvfrom,1036961,3878
madvisesendto,18051,1498
brkmadvise,70080,3929
getpidbind,256,202
pollgetsockname,322,127
sin6_port=htonsbind,69,64
connectmadvise,889,517
socketgetsockname,261,182
set_thread_areafutex,8533,2515
accesswritev,21704,1827
writemunmap,15196,2028
sendtosigprocmask,2054,1130
opengettimeofday,95782,2532
ioctlunlink,575,363
setsockoptclock_gettime,58030,2404
mprotectgettimeofday,154391,3715
closemprotect,52090,3851
writevclock_gettime,521984,4038
getpidioctl,117091,3768
madviseprctl,641020,2896
opengetsockname,592,376
ioctlfdatasync,2746,524
munmapclock_gettime,231943,4019
recvfromwrite,137902,1990
sendtofutex,19569,3324
futexchmod,1916,771
madvisewritev,21131,2793
writevioctl,174803,3989
umaskwrite,1537,281
gettimeofdayclock_gettime,18885907,3698
shutdownsin6_port=htons,28,23
sigaltstackioctl,1436,863
munmapclose,509972,3891
clock_gettimeioctl,4285593,4157
madvisemadvise,1255208,4183
gettimeofdayread,177325,2606
writeclock_gettime,12998107,3983
shutdowngetsockopt,14049,424
getsocknameconnect,22994,1967
writevmadvise,50045,3528
polldup,148,127
mprotectaccess,24765,2994
closeaccess,371099,2811
shutdownfutex,496,181
sigprocmasksin6_port=htons,488,376
pollsched_setscheduler,618,453
gettidwritev,3939,759
ioctlgetpriority,12272,3235
munmapbrk,10285,2437
ioctlrecvfrom,517444,3782
bindsocket,167,132
ioctlgettid,17894,2333
umaskepoll_wait,3236,361
epoll_waitmprotect,48570,3530
futexsetsockopt,36618,2228
shutdownwrite,97,44
setsockoptshutdown,69,38
ioctldup,379759,3997
_exit_exit,280,191
writevclose,5646,2044
munmapgettid,16202,809
connectmunmap,455,331
umaskgetsockname,168,119
epoll_waitrecvfrom,3033477,3962
futexclock_gettime,26607332,4147
brkfutex,77505,4181
openumask,397248,1768
gettimeofdaymadvise,187287,3123
closesigprocmask,36815,3621
openfutex,43695,2681
writevgettid,7474,1381
sendtobind,115,99
setsockoptmadvise,23412,1561
recvfromsetsockopt,2765,897
clonefutex,135167,3876
restart_syscallfutex,3140,2583
unlinkumask,2237,1459
writevaccess,22650,2224
epoll_waitwrite,117630,2574
gettimeofdaymprotect,148804,3961
umaskwritev,737,217
getpidgetpriority,6845,2709
ioctlgetsockopt,46945,2381
ioctlmunmap,2156610,3900
gettidmadvise,6610,2194
writevfdatasync,307,142
writeopen,9455,2214
mprotectsin6_port=htons,1106,657
bindgetsockname,46575,2745
set_thread_areaioctl,278,226
epoll_waitfutex,432881,3600
madvisemunmap,200274,3953
gettimeofdaysetsockopt,4779,979
mprotectsched_setscheduler,7211,2805
ioctlclose,71297,3840
unlinkwritev,2711,638
recvmsgrt_sigtimedwait,4291,4248
closechmod,42116,2824
futexgettid,153454,3404
madviseioctl,75831,2957
shutdownwritev,24,19
shutdownmprotect,536,155
writegetpid,52305,3509
clock_gettimegettimeofday,18734884,4080
read_llseek,504807,1651
recvfromclock_gettime,12200108,3987
futexpoll,1660,698
readaccess,49083,2150
futexsendto,49051,3712
mprotectepoll_ctl,3748,2071
futexgettimeofday,3002031,3558
clock_gettimegetsockopt,63266,2575
mprotectsigprocmask,525828,4037
madviseset_thread_area,665,504
ioctlset_thread_area,2979,1464
sigaltstackprctl,122356,3793
gettimeofdaygettid,265465,2633
gettimeofdayconnect,25282,2330
writewritev,13844,2645
closeioctl,86834,3816
pollwritev,307,202
getsocknamegettimeofday,21855,2066
readclock_gettime,8467689,4079
fdatasyncioctl,2589,674
closesched_setscheduler,15094,3642
mprotectrename,762,487
clock_gettimebrk,120830,3919
ioctlgettimeofday,487050,3590
sigprocmaskwrite,22795,1627
accessaccess,186071,4022
connectmprotect,3245,1419
ioctlfutex,346096,4195
connectsched_setscheduler,676,355
sendtoclock_gettime,5447554,3776
futexmadvise,259594,4124
mprotectrecvfrom,75753,3748
fdatasyncgetsockname,96,78
gettimeofdaysigprocmask,43989,2684
openmprotect,43851,3327
closesocket,42201,2132
epoll_waitgetsockopt,4003,1241
mprotectwritev,128855,3985
recvfromsched_setscheduler,7642,2626
mprotectfutex,1784511,4153
ioctlumask,6237,630
socketgetpid,650,439
writevsetsockopt,363,230
sin6_port=htonsfutex,3488,1116
epoll_ctlsendto,188322,3664
sched_setschedulergetpid,10084,3263
_exitclock_gettime,24117,2758
mprotectioctl,168093,4128
clock_gettimesendto,5263797,3770
brkioctl,14967,3338
clonesched_setscheduler,2599,2497
readclose,2112924,3476
clock_gettimeclock_gettime,224404869,4182
brkmprotect,130548,4174
futexmprotect,726661,4119
futexmunmap,141515,3968
pollgetsockopt,4909,965
writemadvise,13144,1790
clock_gettimeumask,25137,727
recvfromopen,6538,1326
sendtoclose,2457,869
getsockoptrecvfrom,1522,730
ioctlsigprocmask,69055,3685
munmapopen,38432,3887
getsocknamesetsockopt,42654,2603
munmapfutex,73963,3660
connectpoll,78,67
socketsigprocmask,1312,740
shutdowndup,7,7
pollopen,236,193
getprioritymunmap,554,412
futexwrite,219588,3461
recvfromfutex,84201,3783
sin6_port=htonsgettimeofday,1342,647
munmapsigprocmask,263561,4097
sigprocmaskmunmap,176947,4070
openioctl,382928,4125
getpriorityfutex,16316,3375
writeread,461271,3424
writevgettimeofday,69492,2543
sched_setschedulerread,16097,3302
writevsendto,84975,3784
sigprocmasksocket,2301,908
chmodfutex,3408,1306
_llseekread,598342,1696
openpoll,2234,2000
accessmkdir,22892,2751
fdatasyncsched_setscheduler,425,302
sigprocmaskgetsockname,859,558
